事件分類,,檢測需求整理,,
事件分類,子類別,觸發條件／行為描述,詳細說明,食安管控級別
食材處理,生熟食交叉汙染,"① 生肉出現在熟食處理區（Zone B）
觸發條件：偵測盛裝生肉的容器或裸露生肉進入 Zone B 範圍。","•區域定義：Zone A＝生食處理區；Zone B＝熟食處理區
•偵測方式：食材類別辨識 + 區域邊界判斷
•KG的延伸應用：取得生肉位置座標、進入 Zone B 時間戳",高（無法挽救）
,,"② 同一器具未清潔即跨區使用
觸發條件：同一夾子／刀具先接觸生肉，未經清潔殺菌流程，直接接觸熟食。","•偵測方式：器具 ID tracking + 接觸對象分類
•關鍵行為序列：
  器具接觸生肉 → 未至清潔區清洗/未更換夾子/未高溫殺菌 → 接觸熟食
•KG的延伸應用：取得器具軌跡、接觸生熟食時間差",高（無法挽救）
,,"③ 未更換手套直接跨區操作
觸發條件：員工於 Zone A 處理生肉後，未更換手套直接移動至 Zone B 操作熟食。","•偵測方式：cross-camera 人員追蹤 + 手套狀態辨識
•關鍵行為序列：
  Zone A 處理生肉 → 未換手套 → 進入 Zone B
•KG的延伸應用：取得人員 ID、跨區時間點、手套更換記錄
•備註：幾乎所有餐廳必稽查項目，相當重要",高（無法挽救）
衛生行為,洗手規範,"① 取用食材前未洗手
觸發條件：員工直接從備料區取用食材，未先至洗手台完成洗手流程。","•偵測方式：人員動線追蹤 + 洗手台停留時間判斷
•判斷基準：洗手台停留 < SOP 標準秒數視為未完成
•KG的延伸應用：取得人員 ID、違規時間點、洗手台使用記錄",中（尚可挽救）
,,"② 接觸垃圾桶後未洗手
觸發條件：員工接觸 Zone C（垃圾桶 / 汙染物）後，未至洗手台即進行食材處理。","•偵測方式：接觸事件識別（垃圾桶交互）+ 後續動線追蹤
•關鍵行為序列：
  接觸垃圾桶 → 未洗手 → 進入 Zone D 食材處理
•KG的延伸應用：取得接觸時間戳、後續動線、洗手與否判定",中（尚可挽救）
,,"③ 生熟食切換之間未洗手
觸發條件：員工完成生食處理後，未洗手直接進行熟食操作。","•偵測方式：食材處理類別切換偵測 + 洗手流程確認
•關鍵行為序列：
  處理生食 → 未至洗手台 → 直接處理熟食
•KG的延伸應用：取得切換時間差、洗手記錄缺失警示",中（尚可挽救）
病媒防治,老鼠追蹤,"偵測老鼠出現於廚房任意區域；
multiview 同時記錄不同視角的出沒點與消失點，透過 KG 整併各 view 的 subgraph，還原老鼠完整移動路徑。","•偵測對象：老鼠（單一物種鎖定）
•KG的延伸應用：
   •出沒點：鏡頭 ID + 座標 + 時間戳
   •消失點：最後被偵測到的位置與時間
   •跨鏡頭路徑：KG subgraph merge 還原完整軌跡",中（尚可挽救）
環境設施,潑灑事件、殘渣掉落,"偵測地面出現明顯食物殘渣、油漬或液體潑灑；
multiview 同時記錄掉落事件，並透過 KG 將不同 view 的 subgraph 整併，還原完整事件脈絡。","•辨識對象：食物殘渣、油漬、液體潑灑
•判斷基準：地面出現可見汙染物即觸發異常
•AI 任務：定位汙染區域、標記發生時間點
•KG 整併：跨鏡頭 subgraph merge，確認同一事件不重複計算",低（制度規範）
