seq,fid,cam,tid,layer,gt_id,want,chef,matched,actual_top,n_pending,want_pending,want_score,want_dt,new_choice
seq_000,0,camera_1,0,L0_first,9,,1,False,,0,False,,,
seq_000,0,camera_1,1,L1_ghost,,,2,False,,0,False,,,
seq_000,0,camera_2,0,L0_first,10,,3,False,,0,False,,,
seq_000,0,camera_2,1,L0_first,5,,4,False,,0,False,,,
seq_000,0,camera_3,0,L2_not_in_candidates,9,1,4,True,3.1131,0,False,,,
seq_000,0,camera_3,1,L0_first,3,,4,True,3.1131,0,False,,,
seq_000,0,camera_3,2,L0_first,18,,4,True,3.1131,0,False,,,
seq_000,0,camera_3,3,L3_not_top1,10,3,4,True,3.1131,0,False,,,
seq_000,0,camera_4,0,L0_first,6,,4,True,3.1131,0,False,,,
seq_000,0,camera_5,0,OK,5,4,4,True,3.8063,0,False,,,
seq_000,0,camera_5,1,OK,6,4,4,True,3.8063,0,False,,,
seq_000,0,camera_6,0,L0_first,1,,4,True,3.1131,0,False,,,
seq_000,20,camera_1,2,L2_not_in_candidates,10,4,5,False,,0,False,,,
seq_000,20,camera_2,2,OK,9,4,4,True,3.8063,1,True,-1.996,0.333,
seq_000,45,camera_6,1,L1_ghost,,,4,True,,0,False,,,
seq_000,55,camera_5,2,OK,9,4,4,True,3.8063,0,False,,,
seq_000,90,camera_5,3,L2_not_in_candidates,10,5,4,True,3.8063,1,False,,,
seq_000,110,camera_5,4,L1_ghost,,,4,True,,0,False,,,
seq_000,115,camera_5,5,L1_ghost,,,4,True,,0,False,,,
seq_000,160,camera_4,1,OK,10,4,4,True,2.7076,1,True,-0.412,4.333,
seq_000,170,camera_1,3,L2_not_in_candidates,5,4,6,False,,3,False,,,
seq_000,170,camera_7,0,L2_not_in_candidates,1,4,7,False,,0,False,,,
seq_000,180,camera_2,3,OK,3,4,4,True,3.1131,1,False,,,
seq_000,265,camera_3,4,L1_ghost,,,4,True,,1,False,,,4
seq_000,270,camera_6,2,OK,9,4,4,True,2.0145,2,True,-0.222,2.833,
seq_000,335,camera_5,6,OK,3,4,4,True,3.8063,2,True,-0.379,4.0,
seq_000,360,camera_2,4,L1_ghost,,,4,True,,0,False,,,
seq_000,380,camera_6,3,L1_ghost,,,4,True,,0,False,,,
seq_000,385,camera_7,1,L2_not_in_candidates,9,4,8,False,-2.9418,0,False,,,
seq_000,390,camera_3,5,L2_not_in_candidates,5,6,4,True,3.1131,1,False,,,
seq_000,430,camera_6,4,L1_ghost,,,4,True,,0,False,,,
seq_000,470,camera_5,7,OK,10,4,4,True,3.1131,3,True,1.014,2.167,
seq_000,475,camera_6,5,OK,3,4,4,True,2.1968,2,True,-2.351,1.167,
seq_000,515,camera_5,8,OK,6,4,4,True,3.1131,2,True,-0.065,3.667,
seq_000,570,camera_6,6,L3_not_top1,9,8,4,True,2.42,3,False,,,
seq_000,600,camera_6,7,L1_ghost,,,4,True,,1,False,,,
seq_000,620,camera_7,2,L2_not_in_candidates,3,4,9,False,-1.7382,1,False,,,
seq_000,625,camera_5,9,L1_ghost,,,4,True,,1,False,,,4
seq_000,655,camera_6,8,L1_ghost,,,4,True,,2,False,,,4
seq_000,665,camera_7,3,L2_not_in_candidates,9,4,10,False,-2.4817,1,False,,,
seq_000,730,camera_5,10,L1_ghost,,,4,True,,2,False,,,4
seq_000,765,camera_5,11,L1_ghost,,,4,True,,2,False,,,
seq_000,770,camera_7,4,L4_below_threshold,1,7,11,False,-1.9205,0,False,,,
seq_000,855,camera_3,6,OK,5,4,4,True,2.1968,0,False,,,
seq_000,870,camera_4,2,OK,6,4,4,True,3.1131,0,False,,,
seq_000,925,camera_2,5,OK,6,4,4,True,3.8063,0,False,,,
seq_000,925,camera_6,9,L2_not_in_candidates,1,11,4,True,2.42,0,False,,,
seq_000,930,camera_5,12,L1_ghost,,,4,True,,1,False,,,
seq_000,935,camera_6,10,L1_ghost,,,4,True,,0,False,,,
seq_000,950,camera_2,6,OK,5,4,4,True,3.8063,1,True,-1.928,0.167,
seq_000,955,camera_1,4,L1_ghost,,,12,False,,0,False,,,
seq_000,955,camera_7,5,L2_not_in_candidates,9,10,13,False,-3.7135,2,True,-2.1,0.5,
seq_000,965,camera_6,11,L1_ghost,,,4,True,,0,False,,,
seq_000,1030,camera_6,12,OK,6,4,4,True,2.1968,2,True,-1.515,1.0,
seq_000,1035,camera_6,13,L2_not_in_candidates,3,9,4,True,2.1968,2,False,,,4
seq_000,1045,camera_5,13,OK,5,4,4,True,3.8063,4,True,1.888,1.333,
seq_000,1045,camera_6,14,L1_ghost,,,4,True,,3,False,,,4
seq_000,1060,camera_4,3,OK,10,4,4,True,3.1131,0,False,,,
seq_000,1095,camera_7,6,L2_not_in_candidates,6,4,14,False,-2.8083,1,False,,,
seq_000,1100,camera_6,15,L2_not_in_candidates,9,13,4,True,2.0145,4,False,,,
seq_000,1115,camera_5,14,OK,1,4,4,True,3.8063,3,True,-0.799,3.667,
seq_000,1115,camera_6,16,L1_ghost,,,4,True,,4,False,,,
seq_000,1120,camera_6,17,L1_ghost,,,4,True,,4,False,,,
seq_000,1125,camera_4,4,OK,5,4,4,True,3.8063,1,True,2.231,1.333,
seq_000,1220,camera_5,15,OK,3,4,4,True,3.8063,1,True,2.117,1.0,
seq_000,1230,camera_6,18,OK,10,4,4,True,2.42,4,True,-0.187,2.0,
seq_000,1235,camera_2,7,OK,1,4,4,True,3.8063,1,True,-0.012,3.5,
seq_000,1265,camera_1,5,L2_not_in_candidates,1,4,15,False,-1.1658,0,False,,,
seq_000,1265,camera_1,6,L1_ghost,,,16,False,,0,False,,,
seq_000,1270,camera_3,7,L2_not_in_candidates,1,15,4,True,3.8063,0,False,,,
seq_000,1290,camera_5,16,L1_ghost,,,4,True,,2,False,,,
seq_000,1310,camera_5,17,OK,9,4,4,True,3.8063,3,True,-0.053,3.0,
seq_000,1320,camera_2,8,OK,3,4,4,True,3.1131,0,False,,,
seq_000,1335,camera_6,19,L1_ghost,,,4,True,,1,False,,,
seq_000,1360,camera_4,5,OK,3,4,4,True,3.1131,0,False,,,
seq_000,1370,camera_7,7,L2_not_in_candidates,10,4,17,False,-2.2378,0,False,,,
seq_000,1410,camera_5,18,L1_ghost,,,4,True,,1,False,,,
seq_000,1430,camera_2,9,OK,9,4,4,True,3.8063,1,True,0.254,3.0,
seq_000,1435,camera_5,19,OK,1,4,4,True,3.8063,1,True,-0.944,4.5,
seq_000,1455,camera_6,20,L2_not_in_candidates,6,14,4,True,2.1968,2,False,,,
seq_000,1480,camera_4,6,OK,9,4,4,True,3.1131,1,True,2.678,1.0,
seq_000,1500,camera_6,21,L1_ghost,,,4,True,,2,False,,,
seq_000,1505,camera_5,20,L1_ghost,,,4,True,,1,False,,,
seq_000,1520,camera_5,21,L1_ghost,,,4,True,,2,False,,,4
seq_000,1525,camera_4,7,OK,1,4,4,True,3.1131,2,True,3.037,0.833,
seq_000,1585,camera_5,22,OK,5,4,4,True,3.8063,3,True,1.601,1.667,
seq_000,1595,camera_5,23,L1_ghost,,,4,True,,3,False,,,
seq_000,1710,camera_5,24,OK,6,4,4,True,3.8063,1,True,-2.676,4.0,
seq_000,1715,camera_6,22,L2_not_in_candidates,10,17,4,True,1.8603,1,False,,,
seq_000,1730,camera_6,23,L1_ghost,,,4,True,,1,False,,,
seq_000,1825,camera_2,10,OK,6,4,4,True,3.8063,0,False,,,
seq_000,1840,camera_1,7,L2_not_in_candidates,6,4,18,False,-3.358,0,False,,,
seq_000,1840,camera_3,8,L2_not_in_candidates,6,18,4,True,3.8063,0,False,,,
seq_000,1915,camera_7,8,L2_not_in_candidates,10,4,19,False,-4.03,1,False,,,
seq_000,1975,camera_2,11,OK,6,4,4,True,3.8063,1,True,2.792,1.0,
seq_000,1980,camera_2,12,OK,6,4,4,True,3.8063,1,True,2.51,1.167,
seq_000,2035,camera_1,8,L2_not_in_candidates,6,4,20,False,-2.9967,1,False,,,18
seq_000,2050,camera_5,25,OK,3,4,4,True,3.8063,2,True,1.367,1.833,
seq_000,2065,camera_1,9,L1_ghost,,,21,False,,1,False,,,
seq_000,2070,camera_5,26,L1_ghost,,,4,True,,1,False,,,
seq_000,2100,camera_4,8,OK,5,4,4,True,3.1131,0,False,,,
seq_000,2100,camera_5,27,L2_not_in_candidates,6,20,4,True,3.8063,1,False,,,
seq_000,2145,camera_5,28,L3_not_top1,10,19,4,True,3.8063,1,False,,,
seq_000,2155,camera_2,13,OK,5,4,4,True,3.1131,0,False,,,
seq_000,2200,camera_4,9,OK,6,4,4,True,3.1131,1,True,0.547,2.667,
seq_000,2210,camera_5,29,L1_ghost,,,4,True,,1,False,,,
seq_000,2215,camera_5,30,L1_ghost,,,4,True,,1,False,,,
seq_000,2240,camera_5,31,L1_ghost,,,4,True,,2,False,,,
seq_000,2250,camera_6,24,OK,5,4,4,True,1.7268,0,False,,,
seq_000,2255,camera_2,14,OK,10,4,4,True,3.8063,2,True,1.119,2.167,
seq_000,2260,camera_5,32,L1_ghost,,,4,True,,3,False,,,
seq_000,2265,camera_5,33,L1_ghost,,,4,True,,3,False,,,4
seq_000,2295,camera_5,34,L1_ghost,,,4,True,,3,False,,,
seq_000,2300,camera_4,10,OK,10,4,4,True,3.8063,1,True,0.722,2.5,
seq_000,2325,camera_5,35,OK,1,4,4,True,3.8063,4,True,0.485,2.667,
seq_000,2330,camera_5,36,OK,6,4,4,True,3.8063,4,True,3.668,0.333,
seq_000,2330,camera_6,25,L1_ghost,,,22,False,,0,False,,,
seq_000,2355,camera_5,37,OK,9,4,4,True,3.8063,5,True,2.095,1.167,
seq_000,2360,camera_5,38,L1_ghost,,,4,True,,6,False,,,4
seq_000,2380,camera_7,9,L2_not_in_candidates,5,4,23,False,-2.807,0,False,,,
seq_000,2395,camera_2,15,OK,1,4,4,True,3.8063,2,True,-0.15,3.833,
seq_000,2430,camera_5,39,L1_ghost,,,4,True,,5,False,,,
seq_000,2440,camera_5,40,L1_ghost,,,4,True,,5,False,,,4
